reviewBody,alternativeName
"Uma foto que mostra uma manifestante nos protestos pró-governo do último domingo 26 com um cartaz que pedia, entre outras coisas, o fim das universidades e das bolsas acadêmicas retrata, na verdade, uma encenação. A youtuber Mariana Motta, do Canal Púrpura, estava infiltrada como manifestante no evento para ironizar as pessoas que defendiam o governo.",Falso
"Foram editadas três fotos que exibem erros ortográficos e mensagens falsas em cartazes e faixas atribuídos a manifestantes a favor do governo Bolsonaro nos atos do último domingo 26. Aos Fatos identificou elementos de manipulação nas imagens em que há um banner com a palavra honestidade sem o h; em que uma mulher segura um cartaz com erros crassos, como educassão e muinto; e em que duas manifestantes erguem placas com frases como Apoiamos: o fim da previdência e Queiroz Livre.",Falso
"Uma imagem que circula nas redes sociais foi alterada digitalmente para afirmar que as duas manifestantes pró-Bolsonaro retratadas erguiam cartazes com dizeres como apoiamos: o fim da previdência e Queiroz Livre. No Facebook, a peça de desinformação já reunia mais de 2.000 compartilhamentos nesta terça-feira 28. Todas as publicações com a montagem foram marcadas com o selo FALSO na ferramenta de verificação disponibilizada pela rede social entenda como funciona.",Falso
" montagem a foto de uma mulher segurando um cartaz com erros crassos de português, tais comoeducassão, muinto e há favor. Os dizeres na placa apresentam indícios de manipulação. Em publicações nas redes sociais, a imagem é atribuída a uma das manifestações em favor do governo Bolsonaro no último domingo. Apesar de indícios que apontam para isso, a imagem original não foi encontrada para atestar que foi feita no ato governista.",Falso
" editada a imagem de um cartaz das manifestações pró-governo do último domingo 26 em que aparece a mensagem Presidente, sua onestidade me basta. A foto, que vem sendo compartilhada nas redes para ironizar a mensagem dos manifestantes, possui marcas visíveis de edição.",Falso
"Com imagens de manifestações ocorridas em 2016 e 2018, uma montagem voltou a circular nas redes sociais como se retratassem as mobilizações a favor do governo federal neste domingo 26. Três das fotos que constam em posts de Facebooksão de um ato em apoio à candidatura presidencial de Jair Bolsonaro, em 30 de setembro do ano passado, e umaé de um protesto pelo impeachment de Dilma Rousseff PT, em março de 2016.",Falso
"Não é verdade que um banner de manifestantes em um dos atos pró-governo do último domingo 26 deseja forca ao invés de força à equipe do presidente Jair Bolsonaro. Manipulada digitalmente, a foto teve a cedilha da palavra força apagada e acabou viralizando como se fosse verdadeira entre usuários contrários aos protestos.",Falso
"A foto de uma manifestação pelo impeachment da presidente Dilma Rousseff PT, em Brasília, em março de 2016, circula nas redes sociais como se retratasse a manifestação deste domingo 26 na capital federal em favor do governo de Jair Bolsonaro PSL.",Falso
"Imagens que constam na internet desde outubro do ano passado tem sido disseminadas como se fossem da manifestação a favor do governo Bolsonaro em Vitória, no Espírito Santo, no domingo 26. Aos Fatos identificou que os registros constam em sites e perfis ao menos desde outubro de 2018, o que indica serem de passeatas por Bolsonaro realizadas na capital capixaba antes do segundo turno das eleições presidenciais.",Falso
"Além do deputado já ter negado publicamente a autoria da mensagem, a peça apresenta vários indícios de que é uma montagem. Por exemplo: apesar de trazer o nome e a foto da página oficial de Pimenta no Facebook, sugerindo que o comentário foi postado ali, há a indicação do símbolo de somente amigos, opção de publicação disponível apenas para perfis pessoais.",Falso
