reviewBody,alternativeName
"Publicações que circulam nas redes sociais veja aqui enganam ao afirmar que o governo encerrou a distribuição de insulina no SUS Sistema nico de Saúde. O que aconteceu, na verdade, foi a suspensão de parcerias com laboratórios públicos que produzem, entre outros medicamentos, dois tipos do hormônio indicado no tratamento de diabetes. O Ministério da Saúde afirma que essa medida não afeta o abastecimento de insulina na rede pública e que o fornecimento está regular em todos os estados.",Falso
"Uma foto de um treinamento de defesa contra assaltos a bancos organizado pelo Exército em 1969 circula nas redes como se mostrasse a jornalista Miriam Leitão em uma ação armada na ditadura veja aqui. A mulher na imagem é uma bancária do Bradesco durante o treinamento com Carlos Lamarca, que, no momento do registro, ainda era capitão do Exército.",Falso
" falsa a informação de que a deputada federal Benedita da Silva PT-RJ foi embaixadora do Brasil nos EUA, como afirmam publicações nas que circulam nas redes sociais. Além de o cargo não constar em sua biografia, nenhuma mulher ocupou a função desde a redemocratização do Brasil.",Falso
"Modificada digitalmente para incluir o filtro Ele não, a foto de uma servidorada UFMS Universidade Federal de Mato Grosso do Sul que morreuno dia 13 de julho tem circulado nas redes sociais como se fosse do perfil de Facebook damulher que empurrouo padre Marcelo Rossi durante missa no último domingo 14.",Falso
"Uma publicação que circula nas redes sociais afirma que, com a reforma da Previdência, pessoas com Síndrome de Down, autismo, esquizofrenia e transtornos considerados moderados perderão direito à pensão após a morte de seus responsáveis veja aqui. No entanto, o texto-base aprovado em primeiro turno pela Câmara dos Deputados no dia 10 de julho não traz essa informação.",Falso
"Não é verdade que o texto da reforma da Previdência aprovado em primeiro turno na Câmara dos Deputados na última quarta-feira 10 diminuiu o valor do abono salarial PISPasep de um salário-mínimo hoje R$ 998 para menos da metade R$ 468, como afirmam publicações nas redes sociais. A mudança feita não foi no valor do benefício, mas na faixa de renda de quem tem direito a ele.",Falso
"Não é verdade que o governo Bolsonaro vai autorizar a importação de uma tecnologia israelense que promete extrair tumores sem a remoção da mama. O método existe de fato, mas não foi inventado em Israel nem tem eficácia comprovada na eliminação do câncer de mama. O Ministério da Saúde também negou que estude a adoção deste processo no SUS Sistema nico de Saúde.",Falso
"Não é verdade que a ex-ministra da Economia, Fazenda e Planejamento Zélia Cardoso de Mello foi embaixadora do Brasil nos EUA antes de ocupar a pasta, como afirma publicação que circula nas redes. A economista, na verdade, integrou o departamento econômico da embaixada brasileira em Londres.",Falso
Circula como se fosse recente um vídeo gravado em maio de 2016 por um funcionário da Petrobras que mostra a descoberta de um poço de petróleo puro na cidade de São José do Rio Claro MT. As imagens são acompanhadas de uma legenda veja aqui que sugere que a descoberta seria uma conquista do governo de Jair Bolsonaro.,Falso
"Não é verdade que o ex-senador Aloysio Nunes foi nomeado embaixador do Brasil nos EUA durante os governos petistas, como afirmam publicações nas redes sociais. Nunes, na verdade, foi ministro das Relações Exteriores de 2017 a 1 de janeiro de 2019, durante o governo de Michel Temer.",Falso
"Não é verdade que o deputado federal Glauber Braga PSOL-RJ tenha sido acusado de agressão e ameaça de vazamento de fotos íntimas pela jornalista Patrícia Lélis. A desinformação, que circulou nas redes pela primeira vez em dezembro de 2017, foi criada a partir de um boletim de ocorrência falso e de um tweet e um vídeo da jornalista retirados de contexto. Além disso, tanto Lélis quanto Braga negam publicamente as acusações.",Falso
"Não é verdade que Tite, técnico da seleção brasileira masculina de futebol, disse em uma entrevista à TV Globo que os eleitores de Jair Bolsonaro seriam alienados. Além do Aos Fatos não ter identificado registros de que ele tenha proferido tal declaração à emissora ou a qualquer outro meio de comunicação, a assessoria do treinador nega o que vem sendo compartilhado em publicações nas redes sociais.",Falso
" falsa a informação de que a revista Veja publicou que o ministro da Justiça, Sergio Moro, cobrava US$ 80 mil para arquivar processos de narcotraficantes quando era juiz. O post que circula nas redes distorce trecho de reportagem da última edição da revista, que conta que Moro teria orientado procuradores a incluir em uma acusação um comprovante de depósito feito por suposto operador de propina no esquema de corrupção da Petrobras. Em nenhum momento a reportagem fala sobre narcotraficantes ou cobranças por parte do então juiz.",Falso
" falsa a informação de que o empresário André Esteves, sócio do banco BTG Pactual, seria dono da revista Veja, como afirmam posts nas redes sociais veja aqui. O Grupo Abril, que edita a publicação semanal, pertence ao advogado e empresário Fábio Carvalho desde dezembro de 2018, quando foi vendido pela família Civita.",Falso
