reviewBody,alternativeName
"Uma foto tirada durante um engarrafamento em Shenzhen, na China, em setembro de 2012, tem sido difundida nas redes sociais como se retratasse um protesto na Alemanha contra a alta dos preços de combustíveis. A falsa atribuição está em um post publicado por um perfil pessoal no Facebook em novembro de 2017 e que voltou ganhar força na rede nos últimos dias, tendo sido replicada em série. Nesta quinta-feira 2, apeça de desinformação já reunia mais de 1,3 milhão de compartilhamentos.",Falso
"Uma foto antiga dos ex-presidentes argentinos Cristina e Néstor Kirchner tem sido compartilhada nas redes sociais com a informação falsa de que outras duas pessoas na imagem seriam a ex-presidente Dilma Rousseff PT e o traficante colombiano Pablo Escobar. Na verdade, os retratados são Miguél ngel Zuvic e sua esposa, Ema Zuvic, pais da política argentina Mariana Zuvic.",Falso
"Não é de autoria da cantora Maria Bethânia a carta destinada ao ex-presidente Lula que circula pelas redes sociais. Além de não ter sido encontrado em nenhum site confiável e ser assinado de diferentes maneiras em diferentes publicações, a assessoria da artista negou, ao Aos Fatos, que Maria Bethânia escreveu o texto.",Falso
" falsa a notícia de que o Papa Francisco teria cancelado a Bíblia por crer que a obra estava desatualizada para os dias atuais e que a Igreja deveria substituí-la por outro livro. A desinformação surgiu como piada em um site satírico dos EUA em 2018 e logo passou a ser difundida como verdade nas redes sociais. Ao Aos Fatos, o Vaticano negou a veracidade dessas informações.",Falso
Não é verdade que um decreto assinado pelo presidente Jair Bolsonaro PSL extinguiu o Exame da OAB Ordem dos Advogados do Brasil. A informação falsa foi publicada pelo site Portal Pauta Judicial e reproduzida por vários posts nas redes sociais.,Falso
Um meme que circula nas redes sociais traz informações falsas e distorcidas sobre a tramitação do processo do ex-presidente Luiz Inácio Lula da Silva PT na Justiça ao sugerir que ele teve tratamento privilegiado em relação a outros réus.,Falso
"O deputado federal Silvio Torres PSDB-SP, secretário-geral do partido, durante discurso feito no plenário da Câmara no dia 14 de junho, disse que pode haver três anos de queda do PIB, algo nunca antes experimentado em nossa economia.",Verdadeiro
O deputado federal Pompeo de Mattos PDT-RS afirmou que os que estão pedindo a saída do deputado Waldir Maranhão são os mesmos que o elegeram e que elegeram o Eduardo Cunha.,Verdadeiro
"O deputado federal Paulo Pimenta PT-RS afirmou que há um pedido de impeachment do vice-presidente Michel Temer na Câmara, que não está tendo o mesmo tratamento dado ao pedido de impeachment da presidente Dilma Rousseff.",Verdadeiro
"Miguel Reale Júnior, jurista e coautor do pedido de impeachment de Dilma Rousseff disse que, na tramitação do impeachment, a única atribuição da Câmara é decidir se há indícios de crime de responsabilidade que justifiquem o envio do pedido para o Senado.",Verdadeiro
"José Eduardo Martins Cardozo, ministro da Advocacia-Geral da União e encarregado da defesa da presidente Dilma afirmou que a aceitação do pedido de impeachment contra a presidente Dilma Rousseff ocorreu como retaliação à decisão do PT de votar contra o presidente da Câmara, Eduardo Cunha PMDB-RJ no Conselho de tica.",Verdadeiro
"José Eduardo Martins Cardozo, ministro da Advocacia-Geral da União e encarregado da defesa da presidente Dilma afirmou que  além da caracterização de quaisquer irregularidades, é preciso que elas tenham a autoria atribuída inequivocamente à presidente, que precisaria ter agido com dolo, ou seja, intencionalmente.",Verdadeiro
